date,unit_sales,year,month,day_of_week,dcoilwtico,description,is_holiday
2013-02-18,417.0,2013,2,0,95.95,,0
2013-02-19,244.0,2013,2,1,96.69,,0
2013-02-20,339.0,2013,2,2,94.92,,0
2013-02-21,457.0,2013,2,3,92.79,,0
2013-02-22,186.0,2013,2,4,93.12,,0
2013-02-23,497.0,2013,2,5,93.12,,0
2013-02-24,509.0,2013,2,6,93.12,,0
2013-02-25,441.0,2013,2,0,92.74,,0
2013-02-26,550.0,2013,2,1,92.63,,0
2013-02-27,388.0,2013,2,2,92.84,,0
2013-02-28,316.0,2013,2,3,92.03,,0
2013-03-01,305.0,2013,3,4,90.71,,0
2013-03-02,627.0,2013,3,5,90.71,Fundacion de Manta,1
2013-03-03,853.0,2013,3,6,90.71,,0
2013-03-04,554.0,2013,3,0,90.13,,0
2013-03-05,487.0,2013,3,1,90.88,,0
2013-03-06,458.0,2013,3,2,90.47,,0
2013-03-07,566.0,2013,3,3,91.53,,0
2013-03-08,361.0,2013,3,4,92.01,,0
2013-03-09,549.0,2013,3,5,92.01,,0
2013-03-10,591.0,2013,3,6,92.01,,0
2013-03-11,296.0,2013,3,0,92.07,,0
2013-03-12,213.0,2013,3,1,92.44,,0
2013-03-13,620.0,2013,3,2,92.47,,0
2013-03-14,388.0,2013,3,3,93.03,,0
2013-03-15,240.0,2013,3,4,93.49,,0
2013-03-16,779.0,2013,3,5,93.49,,0
2013-03-17,695.0,2013,3,6,93.49,,0
2013-03-18,465.0,2013,3,0,93.71,,0
2013-03-19,418.0,2013,3,1,92.44,,0
2013-03-20,522.0,2013,3,2,93.21,,0
2013-03-21,241.0,2013,3,3,92.46,,0
2013-03-22,353.0,2013,3,4,93.41,,0
2013-03-23,544.0,2013,3,5,93.41,,0
2013-03-24,529.0,2013,3,6,93.41,,0
2013-03-25,413.0,2013,3,0,94.55,,0
2013-03-26,300.0,2013,3,1,95.99,,0
2013-03-27,353.0,2013,3,2,96.53,,0
2013-03-28,594.0,2013,3,3,97.24,,0
2013-03-29,575.0,2013,3,4,97.24,,0
2013-03-30,577.0,2013,3,5,97.24,,0
2013-03-31,643.0,2013,3,6,97.24,,0
2013-04-01,431.0,2013,4,0,97.1,Provincializacion de Cotopaxi,1
2013-04-02,527.0,2013,4,1,97.23,,0
2013-04-03,463.0,2013,4,2,95.02,,0
2013-04-04,305.0,2013,4,3,93.26,,0
2013-04-05,415.0,2013,4,4,92.76,,0
2013-04-06,972.0,2013,4,5,92.76,,0
2013-04-07,936.0,2013,4,6,92.76,,0
2013-04-08,369.0,2013,4,0,93.36,,0
2013-04-09,458.0,2013,4,1,94.18,,0
2013-04-10,386.0,2013,4,2,94.59,,0
2013-04-11,235.0,2013,4,3,93.44,,0
2013-04-12,358.0,2013,4,4,91.23,Fundacion de Cuenca,1
2013-04-13,789.0,2013,4,5,91.23,,0
2013-04-14,506.0,2013,4,6,91.23,Cantonizacion de Libertad,1
2013-04-15,413.0,2013,4,0,88.75,,0
2013-04-16,372.0,2013,4,1,88.73,,0
2013-04-17,400.0,2013,4,2,86.65,,0
2013-04-18,283.0,2013,4,3,87.83,,0
2013-04-19,376.0,2013,4,4,88.04,,0
2013-04-20,647.0,2013,4,5,88.04,,0
2013-04-21,683.0,2013,4,6,88.04,Cantonizacion de Riobamba,1
2013-04-22,408.0,2013,4,0,88.81,,0
2013-04-23,400.0,2013,4,1,89.21,,0
2013-04-24,493.0,2013,4,2,91.07,,0
2013-04-25,219.0,2013,4,3,93.27,,0
2013-04-26,491.0,2013,4,4,92.63,,0
2013-04-27,755.0,2013,4,5,92.63,,0
2013-04-28,719.0,2013,4,6,92.63,,0
2013-04-29,411.0,2013,4,0,94.09,Viernes Santo,1
2013-04-30,369.0,2013,4,1,93.22,,0
2013-05-01,705.0,2013,5,2,90.74,Dia del Trabajo,1
2013-05-02,327.0,2013,5,3,93.7,,0
2013-05-03,350.0,2013,5,4,95.25,,0
2013-05-04,774.0,2013,5,5,95.25,,0
2013-05-05,715.0,2013,5,6,95.25,,0
2013-05-06,416.0,2013,5,0,95.8,,0
2013-05-07,351.0,2013,5,1,95.28,,0
2013-05-08,418.0,2013,5,2,96.24,,0
2013-05-09,323.0,2013,5,3,96.09,,0
2013-05-10,318.0,2013,5,4,95.81,,0
2013-05-11,666.0,2013,5,5,95.81,Dia de la Madre-1,1
2013-05-12,548.0,2013,5,6,95.81,Cantonizacion del Puyo,1
2013-05-12,548.0,2013,5,6,95.81,Dia de la Madre,1
2013-05-13,331.0,2013,5,0,94.76,,0
2013-05-14,409.0,2013,5,1,93.96,,0
2013-05-15,471.0,2013,5,2,93.95,,0
2013-05-16,252.0,2013,5,3,94.85,,0
2013-05-17,423.0,2013,5,4,95.72,,0
2013-05-18,600.0,2013,5,5,95.72,,0
2013-05-19,758.0,2013,5,6,95.72,,0
2013-05-20,399.0,2013,5,0,96.29,,0
2013-05-21,444.0,2013,5,1,95.55,,0
2013-05-22,455.0,2013,5,2,93.98,,0
2013-05-23,372.0,2013,5,3,94.12,,0
2013-05-24,532.0,2013,5,4,93.84,Batalla de Pichincha,1
2013-05-25,392.0,2013,5,5,93.84,,0
2013-05-26,532.0,2013,5,6,93.84,,0
2013-05-27,291.0,2013,5,0,93.84,,0
2013-05-28,293.0,2013,5,1,94.65,,0
2013-05-29,420.0,2013,5,2,93.13,,0
2013-05-30,271.0,2013,5,3,93.57,,0
2013-05-31,488.0,2013,5,4,91.93,,0
2013-06-01,777.0,2013,6,5,91.93,,0
2013-06-02,656.0,2013,6,6,91.93,,0
2013-06-03,462.0,2013,6,0,93.41,,0
2013-06-04,370.0,2013,6,1,93.36,,0
2013-06-05,459.0,2013,6,2,93.66,,0
2013-06-06,280.0,2013,6,3,94.71,,0
2013-06-07,466.0,2013,6,4,96.11,,0
2013-06-08,904.0,2013,6,5,96.11,,0
2013-06-09,794.0,2013,6,6,96.11,,0
2013-06-10,511.0,2013,6,0,95.82,,0
2013-06-11,305.0,2013,6,1,95.5,,0
2013-06-12,475.0,2013,6,2,95.98,,0
2013-06-13,406.0,2013,6,3,96.66,,0
2013-06-14,470.0,2013,6,4,97.83,,0
2013-06-15,747.0,2013,6,5,97.83,,0
2013-06-16,481.0,2013,6,6,97.83,,0
2013-06-17,424.0,2013,6,0,97.86,,0
2013-06-18,560.0,2013,6,1,98.46,,0
2013-06-19,361.0,2013,6,2,98.24,,0
2013-06-20,335.0,2013,6,3,94.89,,0
2013-06-21,473.0,2013,6,4,93.81,,0
2013-06-22,502.0,2013,6,5,93.81,,0
2013-06-23,770.0,2013,6,6,93.81,Cantonizacion de Guaranda,1
2013-06-24,484.0,2013,6,0,95.07,,0
2013-06-25,345.0,2013,6,1,95.25,Provincializacion de Imbabura,1
2013-06-25,345.0,2013,6,1,95.25,Fundacion de Machala,1
2013-06-25,345.0,2013,6,1,95.25,Cantonizacion de Latacunga,1
2013-06-26,555.0,2013,6,2,95.47,,0
2013-06-27,352.0,2013,6,3,97.0,,0
2013-06-28,374.0,2013,6,4,96.36,,0
2013-06-29,489.0,2013,6,5,96.36,,0
2013-06-30,669.0,2013,6,6,96.36,,0
2013-07-01,422.0,2013,7,0,97.94,,0
2013-07-02,421.0,2013,7,1,99.65,,0
2013-07-03,510.0,2013,7,2,101.92,Cantonizacion de El Carmen,1
2013-07-03,510.0,2013,7,2,101.92,Fundacion de Santo Domingo,1
2013-07-04,463.0,2013,7,3,101.92,,0
2013-07-05,439.0,2013,7,4,103.09,,0
2013-07-06,590.0,2013,7,5,103.09,,0
2013-07-07,665.0,2013,7,6,103.09,,0
2013-07-08,265.0,2013,7,0,103.03,,0
2013-07-09,393.0,2013,7,1,103.46,,0
2013-07-10,550.0,2013,7,2,106.41,,0
2013-07-11,262.0,2013,7,3,104.77,,0
2013-07-12,397.0,2013,7,4,105.85,,0
2013-07-13,466.0,2013,7,5,105.85,,0
2013-07-14,449.0,2013,7,6,105.85,,0
2013-07-15,484.0,2013,7,0,106.2,,0
2013-07-16,443.0,2013,7,1,105.88,,0
2013-07-17,469.0,2013,7,2,106.39,,0
2013-07-18,292.0,2013,7,3,107.94,,0
2013-07-19,278.0,2013,7,4,108.0,,0
2013-07-20,605.0,2013,7,5,108.0,,0
2013-07-21,817.0,2013,7,6,108.0,,0
2013-07-22,295.0,2013,7,0,106.61,,0
2013-07-23,470.0,2013,7,1,107.13,Cantonizacion de Cayambe,1
2013-07-24,431.0,2013,7,2,105.41,Fundacion de Guayaquil-1,1
2013-07-25,282.0,2013,7,3,105.47,Fundacion de Guayaquil,1
2013-07-26,596.0,2013,7,4,104.76,,0
2013-07-27,548.0,2013,7,5,104.76,,0
2013-07-28,700.0,2013,7,6,104.76,,0
2013-07-29,414.0,2013,7,0,104.61,,0
2013-07-30,353.0,2013,7,1,103.14,,0
2013-07-31,570.0,2013,7,2,105.1,,0
2013-08-01,462.0,2013,8,3,107.93,,0
2013-08-02,464.0,2013,8,4,106.94,,0
2013-08-03,657.0,2013,8,5,106.94,,0
2013-08-04,681.0,2013,8,6,106.94,,0
2013-08-05,461.0,2013,8,0,106.61,Fundacion de Esmeraldas,1
2013-08-06,328.0,2013,8,1,105.32,,0
2013-08-07,403.0,2013,8,2,104.41,,0
2013-08-08,360.0,2013,8,3,103.45,,0
2013-08-09,347.0,2013,8,4,106.04,,0
2013-08-10,570.0,2013,8,5,106.04,Primer Grito de Independencia,1
2013-08-11,662.0,2013,8,6,106.04,,0
2013-08-12,423.0,2013,8,0,106.19,,0
2013-08-13,405.0,2013,8,1,106.78,,0
2013-08-14,454.0,2013,8,2,106.89,,0
2013-08-15,339.0,2013,8,3,107.43,Fundacion de Riobamba,1
2013-08-16,469.0,2013,8,4,107.58,,0
2013-08-17,495.0,2013,8,5,107.58,,0
2013-08-18,681.0,2013,8,6,107.58,,0
2013-08-19,376.0,2013,8,0,107.14,,0
2013-08-20,338.0,2013,8,1,104.9,,0
2013-08-21,330.0,2013,8,2,103.93,,0
2013-08-22,358.0,2013,8,3,104.93,,0
2013-08-23,347.0,2013,8,4,106.48,,0
2013-08-24,644.0,2013,8,5,106.48,Fundacion de Ambato,1
2013-08-25,813.0,2013,8,6,106.48,,0
2013-08-26,636.0,2013,8,0,105.88,,0
2013-08-27,386.0,2013,8,1,109.11,,0
2013-08-28,613.0,2013,8,2,110.17,,0
2013-08-29,432.0,2013,8,3,108.51,,0
2013-08-30,410.0,2013,8,4,107.98,,0
2013-08-31,493.0,2013,8,5,107.98,,0
2013-09-01,711.0,2013,9,6,107.98,,0
2013-09-02,583.0,2013,9,0,107.98,,0
2013-09-03,345.0,2013,9,1,108.67,,0
2013-09-04,670.0,2013,9,2,107.29,,0
2013-09-05,331.0,2013,9,3,108.5,,0
2013-09-06,415.0,2013,9,4,110.62,,0
2013-09-07,791.0,2013,9,5,110.62,,0
2013-09-08,786.0,2013,9,6,110.62,,0
2013-09-09,541.0,2013,9,0,109.62,,0
2013-09-10,342.0,2013,9,1,107.48,,0
2013-09-11,435.0,2013,9,2,107.65,,0
2013-09-12,621.0,2013,9,3,108.72,,0
2013-09-13,323.0,2013,9,4,108.31,,0
2013-09-14,632.0,2013,9,5,108.31,,0
2013-09-15,710.0,2013,9,6,108.31,,0
2013-09-16,524.0,2013,9,0,106.54,,0
2013-09-17,314.0,2013,9,1,105.36,,0
2013-09-18,414.0,2013,9,2,108.23,,0
2013-09-19,372.0,2013,9,3,106.26,,0
2013-09-20,346.0,2013,9,4,104.7,,0
2013-09-21,726.0,2013,9,5,104.7,,0
2013-09-22,866.0,2013,9,6,104.7,,0
2013-09-23,516.0,2013,9,0,103.62,,0
2013-09-24,306.0,2013,9,1,103.22,,0
2013-09-25,486.0,2013,9,2,102.68,,0
2013-09-26,428.0,2013,9,3,103.1,,0
2013-09-27,370.0,2013,9,4,102.86,,0
2013-09-28,609.0,2013,9,5,102.86,Fundacion de Ibarra,1
2013-09-29,764.0,2013,9,6,102.86,,0
2013-09-30,416.0,2013,9,0,102.36,,0
2013-10-01,336.0,2013,10,1,102.09,,0
2013-10-02,407.0,2013,10,2,104.15,,0
2013-10-03,303.0,2013,10,3,103.29,,0
2013-10-04,550.0,2013,10,4,103.83,,0
2013-10-05,678.0,2013,10,5,103.83,,0
2013-10-06,719.0,2013,10,6,103.83,,0
2013-10-07,515.0,2013,10,0,103.07,Cantonizacion de Quevedo,1
2013-10-08,346.0,2013,10,1,103.54,,0
2013-10-09,601.0,2013,10,2,101.63,Independencia de Guayaquil,1
2013-10-10,277.0,2013,10,3,103.08,,0
2013-10-11,221.0,2013,10,4,102.17,Traslado Independencia de Guayaquil,1
2013-10-12,558.0,2013,10,5,102.17,,0
2013-10-13,485.0,2013,10,6,102.17,,0
2013-10-14,276.0,2013,10,0,102.46,,0
2013-10-15,345.0,2013,10,1,101.15,,0
2013-10-16,396.0,2013,10,2,102.34,,0
2013-10-17,329.0,2013,10,3,100.72,,0
2013-10-18,427.0,2013,10,4,100.87,,0
2013-10-19,737.0,2013,10,5,100.87,,0
2013-10-20,904.0,2013,10,6,100.87,,0
2013-10-21,394.0,2013,10,0,99.28,,0
2013-10-22,351.0,2013,10,1,97.63,,0
2013-10-23,310.0,2013,10,2,96.9,,0
2013-10-24,384.0,2013,10,3,96.65,,0
2013-10-25,297.0,2013,10,4,97.4,,0
2013-10-26,531.0,2013,10,5,97.4,,0
2013-10-27,801.0,2013,10,6,97.4,,0
2013-10-28,297.0,2013,10,0,98.74,,0
2013-10-29,352.0,2013,10,1,98.29,,0
2013-10-30,497.0,2013,10,2,96.81,,0
2013-10-31,224.0,2013,10,3,96.29,,0
2013-11-01,375.0,2013,11,4,94.56,,0
2013-11-02,549.0,2013,11,5,94.56,Dia de Difuntos,1
2013-11-03,860.0,2013,11,6,94.56,Independencia de Cuenca,1
2013-11-04,406.0,2013,11,0,94.58,,0
2013-11-05,475.0,2013,11,1,93.4,,0
2013-11-06,295.0,2013,11,2,94.74,Provincializacion de Santo Domingo,1
2013-11-07,389.0,2013,11,3,94.25,Provincializacion Santa Elena,1
2013-11-08,379.0,2013,11,4,94.56,,0
2013-11-09,644.0,2013,11,5,94.56,,0
2013-11-10,695.0,2013,11,6,94.56,Independencia de Guaranda,1
2013-11-11,612.0,2013,11,0,95.13,Independencia de Latacunga,1
2013-11-12,314.0,2013,11,1,93.12,Independencia de Ambato,1
2013-11-13,343.0,2013,11,2,93.91,,0
2013-11-14,295.0,2013,11,3,93.76,,0
2013-11-15,400.0,2013,11,4,93.8,,0
2013-11-16,683.0,2013,11,5,93.8,,0
2013-11-17,921.0,2013,11,6,93.8,,0
2013-11-18,447.0,2013,11,0,93.03,,0
2013-11-19,401.0,2013,11,1,93.35,,0
2013-11-20,481.0,2013,11,2,93.34,,0
2013-11-21,199.0,2013,11,3,95.35,,0
2013-11-22,419.0,2013,11,4,94.53,,0
2013-11-23,519.0,2013,11,5,94.53,,0
2013-11-24,702.0,2013,11,6,94.53,,0
2013-11-25,282.0,2013,11,0,93.86,,0
2013-11-26,274.0,2013,11,1,93.41,,0
2013-11-27,474.0,2013,11,2,92.05,,0
2013-11-28,258.0,2013,11,3,92.05,,0
2013-11-29,363.0,2013,11,4,92.55,,0
2013-11-30,726.0,2013,11,5,92.55,,0
2013-12-01,736.0,2013,12,6,92.55,,0
2013-12-02,421.0,2013,12,0,93.61,,0
2013-12-03,493.0,2013,12,1,95.83,,0
2013-12-04,454.0,2013,12,2,96.97,,0
2013-12-05,265.0,2013,12,3,97.14,Fundacion de Quito-1,1
2013-12-06,388.0,2013,12,4,97.48,Fundacion de Quito,1
2013-12-07,504.0,2013,12,5,97.48,,0
2013-12-08,477.0,2013,12,6,97.48,Fundacion de Loja,1
2013-12-09,378.0,2013,12,0,97.1,,0
2013-12-10,330.0,2013,12,1,98.32,,0
2013-12-11,508.0,2013,12,2,97.25,,0
2013-12-12,502.0,2013,12,3,97.21,,0
2013-12-13,367.0,2013,12,4,96.27,,0
2013-12-14,547.0,2013,12,5,96.27,,0
2013-12-15,621.0,2013,12,6,96.27,,0
2013-12-16,322.0,2013,12,0,97.18,,0
2013-12-17,496.0,2013,12,1,96.99,,0
2013-12-18,532.0,2013,12,2,97.59,,0
2013-12-19,455.0,2013,12,3,98.4,,0
2013-12-20,441.0,2013,12,4,99.11,,0
2013-12-21,630.0,2013,12,5,99.11,Navidad-4,1
2013-12-22,985.0,2013,12,6,99.11,Navidad-3,1
2013-12-22,985.0,2013,12,6,99.11,Cantonizacion de Salinas,1
2013-12-23,523.0,2013,12,0,98.62,Navidad-2,1
2013-12-24,365.0,2013,12,1,98.87,Navidad-1,1
2013-12-26,418.0,2013,12,3,99.18,Navidad+1,1
2013-12-27,419.0,2013,12,4,99.94,,0
2013-12-28,499.0,2013,12,5,99.94,,0
2013-12-29,552.0,2013,12,6,99.94,,0
2013-12-30,595.0,2013,12,0,98.9,,0
2013-12-31,436.0,2013,12,1,98.17,Primer dia del ano-1,1
2014-01-02,589.0,2014,1,3,95.14,,0
2014-01-03,474.0,2014,1,4,93.66,,0
2014-01-04,767.0,2014,1,5,93.66,,0
2014-01-05,1203.0,2014,1,6,93.66,,0
2014-01-06,399.0,2014,1,0,93.12,,0
2014-01-07,498.0,2014,1,1,93.31,,0
2014-01-08,561.0,2014,1,2,91.9,,0
2014-01-09,239.0,2014,1,3,91.36,,0
2014-01-10,438.0,2014,1,4,92.39,,0
2014-01-11,619.0,2014,1,5,92.39,,0
2014-01-12,533.0,2014,1,6,92.39,,0
2014-01-13,443.0,2014,1,0,91.45,,0
2014-01-14,440.0,2014,1,1,92.15,,0
2014-01-15,360.0,2014,1,2,93.78,,0
2014-01-16,1168.0,2014,1,3,93.54,,0
2014-01-17,506.0,2014,1,4,93.96,,0
2014-01-18,720.0,2014,1,5,93.96,,0
2014-01-19,561.0,2014,1,6,93.96,,0
2014-01-20,391.0,2014,1,0,93.96,,0
2014-01-21,421.0,2014,1,1,94.51,,0
2014-01-22,519.0,2014,1,2,96.35,,0
2014-01-23,231.0,2014,1,3,97.23,,0
2014-01-24,263.0,2014,1,4,96.66,,0
2014-01-25,789.0,2014,1,5,96.66,,0
2014-01-26,698.0,2014,1,6,96.66,,0
2014-01-27,310.0,2014,1,0,95.82,,0
2014-01-28,332.0,2014,1,1,97.49,,0
2014-01-29,405.0,2014,1,2,97.34,,0
2014-01-30,323.0,2014,1,3,98.25,,0
2014-01-31,456.0,2014,1,4,97.55,,0
2014-02-01,732.0,2014,2,5,97.55,,0
2014-02-02,704.0,2014,2,6,97.55,,0
2014-02-03,395.0,2014,2,0,96.44,,0
2014-02-04,313.0,2014,2,1,97.24,,0
2014-02-05,463.0,2014,2,2,97.4,,0
2014-02-06,301.0,2014,2,3,97.84,,0
2014-02-07,289.0,2014,2,4,99.98,,0
2014-02-08,678.0,2014,2,5,99.98,,0
2014-02-09,731.0,2014,2,6,99.98,,0
2014-02-10,370.0,2014,2,0,100.12,,0
2014-02-11,440.0,2014,2,1,99.96,,0
2014-02-12,409.0,2014,2,2,100.38,,0
2014-02-13,310.0,2014,2,3,100.27,,0
2014-02-14,258.0,2014,2,4,100.31,,0
2014-02-15,650.0,2014,2,5,100.31,,0
2014-02-16,583.0,2014,2,6,100.31,,0
2014-02-17,506.0,2014,2,0,100.31,,0
2014-02-18,506.0,2014,2,1,102.54,,0
2014-02-19,392.0,2014,2,2,103.46,,0
2014-02-20,296.0,2014,2,3,103.2,,0
2014-02-21,393.0,2014,2,4,102.53,,0
2014-02-22,809.0,2014,2,5,102.53,,0
2014-02-23,714.0,2014,2,6,102.53,,0
2014-02-24,338.0,2014,2,0,103.17,,0
2014-02-25,453.0,2014,2,1,102.2,,0
2014-02-26,388.0,2014,2,2,102.93,,0
2014-02-27,587.0,2014,2,3,102.68,,0
2014-02-28,346.0,2014,2,4,102.88,,0
2014-03-01,714.0,2014,3,5,102.88,,0
2014-03-02,410.0,2014,3,6,102.88,Fundacion de Manta,1
2014-03-03,408.0,2014,3,0,105.34,Carnaval,1
2014-03-04,648.0,2014,3,1,103.64,Carnaval,1
2014-03-05,367.0,2014,3,2,101.75,,0
2014-03-06,492.0,2014,3,3,101.82,,0
2014-03-07,410.0,2014,3,4,102.82,,0
2014-03-08,572.0,2014,3,5,102.82,,0
2014-03-09,731.0,2014,3,6,102.82,,0
2014-03-10,437.0,2014,3,0,101.39,,0
2014-03-11,509.0,2014,3,1,100.29,,0
2014-03-12,317.0,2014,3,2,98.29,,0
2014-03-13,254.0,2014,3,3,98.57,,0
2014-03-14,243.0,2014,3,4,99.23,,0
2014-03-15,535.0,2014,3,5,99.23,,0
2014-03-16,726.0,2014,3,6,99.23,,0
2014-03-17,285.0,2014,3,0,98.43,,0
2014-03-18,353.0,2014,3,1,100.08,,0
2014-03-19,346.0,2014,3,2,100.71,,0
2014-03-20,139.0,2014,3,3,99.68,,0
2014-03-21,456.0,2014,3,4,99.97,,0
2014-03-22,567.0,2014,3,5,99.97,,0
2014-03-23,603.0,2014,3,6,99.97,,0
2014-03-24,371.0,2014,3,0,100.05,,0
2014-03-25,392.0,2014,3,1,99.66,,0
2014-03-26,432.0,2014,3,2,100.61,,0
2014-03-27,328.0,2014,3,3,101.25,,0
2014-03-28,523.0,2014,3,4,101.73,,0
2014-03-29,647.0,2014,3,5,101.73,,0
2014-03-30,599.0,2014,3,6,101.73,,0
2014-03-31,415.0,2014,3,0,101.57,,0
